AnalyzerId,EpochTime,Shape,SurveyId
00000015-db64-fde7-7e67-39c8ac533d51,1486495204,0xE61000000104050000009365F34DB47D5EC0C6E5DADB38B74240A72ACF58B47D5EC0169181C538B74240F0DAED83B47D5EC0DE842C4938B742409779B45BB47D5EC09747F3A338B742409365F34DB47D5EC0C6E5DADB38B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495205,0xE61000000104050000009779B45BB47D5EC09747F3A338B74240F0DAED83B47D5EC0DE842C4938B74240C01E7D4AB57D5EC0F0DD650736B74240E2CBC563B47D5EC00F62A82438B742409779B45BB47D5EC09747F3A338B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495206,0xE6100000010405000000E2CBC563B47D5EC00F62A82438B74240C01E7D4AB57D5EC0F0DD650736B742400CE6D76AB77D5EC0F1ACCE6730B7424066904041B47D5EC01507A77B37B74240E2CBC563B47D5EC00F62A82438B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495207,0xE610000001040500000066904041B47D5EC01507A77B37B742400CE6D76AB77D5EC0F1ACCE6730B74240C09DC897B97D5EC09D76D39D2AB74240EA92C8D9B37D5EC07A370BF236B7424066904041B47D5EC01507A77B37B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495208,0xE6100000010405000000EA92C8D9B37D5EC07A370BF236B74240C09DC897B97D5EC09D76D39D2AB7424056F71117B87D5EC0807DB7FA2BB74240BA816C31B37D5EC0AC7CBECF36B74240EA92C8D9B37D5EC07A370BF236B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495209,0xE6100000010405000000BA816C31B37D5EC0AC7CBECF36B7424056F71117B87D5EC0807DB7FA2BB742407A9D23C6B77D5EC09F6F27302BB742401D9E8557B27D5EC02E46C61337B74240BA816C31B37D5EC0AC7CBECF36B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495210,0xE61000000104050000001D9E8557B27D5EC02E46C61337B742407A9D23C6B77D5EC09F6F27302BB7424077A36705B67D5EC098D9019F2CB74240EEAD9559B17D5EC09D2D7B6F37B742401D9E8557B27D5EC02E46C61337B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495211,0xE6100000010405000000EEAD9559B17D5EC09D2D7B6F37B7424077A36705B67D5EC098D9019F2CB74240C1FFFEDAB47D5EC0C55DC3C52BB742402FF53B2BB07D5EC0A9CE7BBB37B74240EEAD9559B17D5EC09D2D7B6F37B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495212,0xE61000000104050000002FF53B2BB07D5EC0A9CE7BBB37B74240C1FFFEDAB47D5EC0C55DC3C52BB74240CEF9583FB37D5EC0BF37878129B74240F26BE8CBAE7D5EC0DC5988E237B742402FF53B2BB07D5EC0A9CE7BBB37B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495213,0xE6100000010405000000F26BE8CBAE7D5EC0DC5988E237B74240CEF9583FB37D5EC0BF37878129B74240E7F58263B17D5EC0048AA54326B74240D764CD49AD7D5EC0CEFA86CB37B74240F26BE8CBAE7D5EC0DC5988E237B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495214,0xE6100000010405000000D764CD49AD7D5EC0CEFA86CB37B74240E7F58263B17D5EC0048AA54326B7424086F426CDAF7D5EC0E06DB6AF24B74240DB547CAAAB7D5EC014F7C09137B74240D764CD49AD7D5EC0CEFA86CB37B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495215,0xE6100000010405000000DB547CAAAB7D5EC014F7C09137B7424086F426CDAF7D5EC0E06DB6AF24B74240697AAF5CAD7D5EC097FE3CD721B74240948CA8F2A97D5EC0DB4BE54437B74240DB547CAAAB7D5EC014F7C09137B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495216,0xE6100000010405000000948CA8F2A97D5EC0DB4BE54437B74240697AAF5CAD7D5EC097FE3CD721B742407A0EAA60AA7D5EC072EA32F51EB74240FF275C2AA87D5EC03F193BF336B74240948CA8F2A97D5EC0DB4BE54437B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495217,0xE6100000010405000000FF275C2AA87D5EC03F193BF336B742407A0EAA60AA7D5EC072EA32F51EB74240A0232208A87D5EC020DAF8341EB7424045314D5AA67D5EC00A167AA336B74240FF275C2AA87D5EC03F193BF336B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
00000015-db64-fde7-7e67-39c8ac533d51,1486495218,0xE610000001040500000045314D5AA67D5EC00A167AA336B74240A0232208A87D5EC020DAF8341EB74240F8FFCFB0A67D5EC0E222A96C1EB742409847208AA47D5EC0C528195B36B7424045314D5AA67D5EC00A167AA336B7424001000000020000000001000000FFFFFFFF0000000003,0059f66a-ecef-43ce-bbb5-6f65e7a44d0b
